ID,IP,Name,Typ,Kategorie
1,172.25.1.1,Controler,,
2,172.25.1.101,101 switch HLAVNÍ 48,,switch
3,172.25.1.102,102 switch KANCELÁŘ SERVERY,,
4,172.25.1.103,103 switch KANCELÁŘ STROP,,
5,172.25.1.104,104 switch CHODBA PATRO,,
6,172.25.1.105,105 switch CE STROP,,
7,172.25.1.106,106 switch CE BOBIK,,
8,172.25.1.107,107 switch MB STROP,,
9,172.25.1.108,108 switch PC-17,,
10,172.25.1.109,109 switch POKLADNY,,
11,172.25.1.110,,,
12,172.25.1.111,111 switch SKLAD K132,,
13,172.25.1.112,112 switch SKLAD 108,,
14,172.25.1.113,,,
15,172.25.1.114,,,
16,172.25.1.115,,,
17,172.25.1.116,,,
18,172.25.1.121,121 switch KUTILKOVI,,
19,172.25.1.122,122 switch DOMA H,,
20,172.25.1.123,123 switch DOMA M,,
201,172.25.1.201,201 AP KANCELÁŘ,U6 pro,
202,172.25.1.202,202 AP ŠATNA,U6 pro,
203,172.25.1.203,203 AP CE,U6 pro,
204,172.25.1.204,204 AP SVÍTIDLA,AC lite,
205,172.25.1.205,205 AP VESTAVBY,U6 pro,
206,172.25.1.206,206 AP MB,U6 pro,
207,172.25.1.207,207 AP VB,,
208,172.25.1.208,208 AP PERGOLA,U6 pro,
209,172.25.1.209,209 AP SKLAD H1,AC lite,
210,172.25.1.210,210 AP SKLAD H4,AC lite,
211,172.25.1.211,211 AP SKLAD H8,U6 pro,
212,172.25.1.212,212 AP SKLAD S8,AC lite,
213,172.25.1.213,213 AP SKLEP,AC lite,
214,172.25.1.214,214 AP HONZA,U6 pro,
215,172.25.1.215,215 AP MICHAL,U6 pro,
216,172.25.1.216,216 AP KUTILKOVI,AC LR,