Name,ID,IP,Kategorie,Typ
Controler,1,172.25.1.1,,
101 switch HLAVNÍ 48,2,172.25.1.101,switch,
102 switch KANCELÁŘ SERVERY,3,172.25.1.102,,
103 switch KANCELÁŘ STROP,4,172.25.1.103,,
104 switch CHODBA PATRO,5,172.25.1.104,,
105 switch CE STROP,6,172.25.1.105,,
106 switch CE BOBIK,7,172.25.1.106,,
107 switch MB STROP,8,172.25.1.107,,
108 switch PC-17,9,172.25.1.108,,
109 switch POKLADNY,10,172.25.1.109,,
,11,172.25.1.110,,
111 switch SKLAD K132,12,172.25.1.111,,
112 switch SKLAD 108,13,172.25.1.112,,
,14,172.25.1.113,,
,15,172.25.1.114,,
,16,172.25.1.115,,
,17,172.25.1.116,,
121 switch KUTILKOVI,18,172.25.1.121,,
122 switch DOMA H,19,172.25.1.122,,
123 switch DOMA M,20,172.25.1.123,,
201 AP KANCELÁŘ,201,172.25.1.201,,U6 pro
202 AP ŠATNA,202,172.25.1.202,,U6 pro
203 AP CE,203,172.25.1.203,,U6 pro
204 AP SVÍTIDLA,204,172.25.1.204,,AC lite
205 AP VESTAVBY,205,172.25.1.205,,U6 pro
206 AP MB,206,172.25.1.206,,U6 pro
207 AP VB,207,172.25.1.207,,
208 AP PERGOLA,208,172.25.1.208,,U6 pro
209 AP SKLAD H1,209,172.25.1.209,,AC lite
210 AP SKLAD H4,210,172.25.1.210,,AC lite
211 AP SKLAD H8,211,172.25.1.211,,U6 pro
212 AP SKLAD S8,212,172.25.1.212,,AC lite
213 AP SKLEP,213,172.25.1.213,,AC lite
214 AP HONZA,214,172.25.1.214,,U6 pro
215 AP MICHAL,215,172.25.1.215,,U6 pro
216 AP KUTILKOVI,216,172.25.1.216,,AC LR